Time (s),Speed (km/h),Timestamp
0.00034880638122558594,0.792,13:41:57.636
0.1058650016784668,1.584,13:41:57.742
0.2084369659423828,0.792,13:41:57.845
0.31387972831726074,0.792,13:41:57.950
0.41492390632629395,0.792,13:41:58.051
0.5203027725219727,0.792,13:41:58.156
0.6235647201538086,4.716,13:41:58.260
0.7293329238891602,0.792,13:41:58.365
0.8318338394165039,6.3,13:41:58.468
0.9374520778656006,3.9240000000000004,13:41:58.574
1.0415527820587158,4.716,13:41:58.678
1.1470069885253906,1.584,13:41:58.783
1.2485408782958984,0.792,13:41:58.885
1.350339651107788,0.792,13:41:58.986
1.4790637493133545,8.64,13:41:59.115
1.5836176872253418,0.792,13:41:59.220
1.6878688335418701,1.584,13:41:59.324
1.7918519973754883,0.792,13:41:59.428
1.8974158763885498,2.3760000000000003,13:41:59.534
2.0028767585754395,0.792,13:41:59.639
2.108280658721924,3.132,13:41:59.744
2.213815689086914,1.584,13:41:59.850
2.3164608478546143,1.584,13:41:59.953
2.4219188690185547,0.792,13:42:00.058
2.5273139476776123,0.792,13:42:00.163
2.6328587532043457,0.792,13:42:00.269
2.8308589458465576,2.3760000000000003,13:42:00.467
2.936419725418091,2.3760000000000003,13:42:00.573
3.0418570041656494,0.792,13:42:00.678
3.147376775741577,0.792,13:42:00.784
3.252866744995117,0.792,13:42:00.889
3.3583438396453857,3.9240000000000004,13:42:00.994
3.4637818336486816,1.584,13:42:01.100
3.5692899227142334,0.792,13:42:01.205
3.6749207973480225,0.792,13:42:01.311
3.888730764389038,1.584,13:42:01.525
3.994264841079712,0.792,13:42:01.630
4.111222743988037,0.792,13:42:01.747
4.336735963821411,3.9240000000000004,13:42:01.973
4.442184925079346,4.716,13:42:02.078
4.547631740570068,0.792,13:42:02.184
4.6531147956848145,7.884,13:42:02.289
4.758631944656372,2.3760000000000003,13:42:02.395
4.864115953445435,3.132,13:42:02.500
4.969601631164551,1.584,13:42:02.606
5.099745750427246,0.792,13:42:02.736
5.20523476600647,0.792,13:42:02.841
5.310710668563843,5.508,13:42:02.947
5.416281700134277,0.792,13:42:03.052
5.517868757247925,2.3760000000000003,13:42:03.154
5.621150970458984,0.792,13:42:03.257
5.726582050323486,0.792,13:42:03.363
5.8321638107299805,3.9240000000000004,13:42:03.468
5.937734842300415,2.3760000000000003,13:42:03.574
6.043203830718994,2.3760000000000003,13:42:03.679
6.147653818130493,7.092,13:42:03.784
6.285207748413086,2.3760000000000003,13:42:03.921
6.385812997817993,1.584,13:42:04.022
6.491339921951294,0.792,13:42:04.127
6.596747875213623,1.584,13:42:04.233
6.702276706695557,2.3760000000000003,13:42:04.338
6.831049919128418,2.3760000000000003,13:42:04.467
6.936470985412598,2.3760000000000003,13:42:04.573
7.041892766952515,5.508,13:42:04.678
7.147403955459595,2.3760000000000003,13:42:04.784
7.252918720245361,0.792,13:42:04.889
7.358366966247559,2.3760000000000003,13:42:04.995
7.4638378620147705,1.584,13:42:05.100
7.569307804107666,6.3,13:42:05.205
7.674815893173218,2.3760000000000003,13:42:05.311
7.814272880554199,2.3760000000000003,13:42:05.450
7.919766902923584,2.3760000000000003,13:42:05.556
8.106443881988525,2.3760000000000003,13:42:05.743
8.21235466003418,0.792,13:42:05.848
8.331915855407715,2.3760000000000003,13:42:05.968
8.437342882156372,2.3760000000000003,13:42:06.073
8.57157564163208,1.584,13:42:06.208
8.676979780197144,0.792,13:42:06.313
8.782486915588379,2.3760000000000003,13:42:06.419
8.887971878051758,1.584,13:42:06.524
8.993469953536987,0.792,13:42:06.630
9.098870038986206,22.032,13:42:06.735
9.204368829727173,28.332,13:42:06.841
9.30983591079712,0.792,13:42:06.946
9.415298700332642,2.3760000000000003,13:42:07.051
9.543860912322998,4.716,13:42:07.180
9.649288892745972,3.9240000000000004,13:42:07.285
9.754796743392944,0.792,13:42:07.391
9.860298871994019,2.3760000000000003,13:42:07.496
9.96584177017212,7.884,13:42:07.602
10.071316003799438,3.132,13:42:07.707
10.176785945892334,0.792,13:42:07.813
10.28224778175354,2.3760000000000003,13:42:07.918
10.387694835662842,2.3760000000000003,13:42:08.024
