Time (s),Speed (km/h),Timestamp
1.1920928955078125e-06,2.3760000000000003,17:31:52.083
0.10555911064147949,2.3760000000000003,17:31:52.188
0.21102619171142578,0.792,17:31:52.294
0.3164663314819336,1.584,17:31:52.399
0.42188525199890137,1.584,17:31:52.504
0.5271623134613037,1.584,17:31:52.610
0.6285712718963623,2.3760000000000003,17:31:52.711
0.7297201156616211,1.584,17:31:52.812
0.835247278213501,3.132,17:31:52.918
0.9390530586242676,1.584,17:31:53.022
1.0445261001586914,0.792,17:31:53.127
1.1486201286315918,3.132,17:31:53.231
1.254134178161621,7.092,17:31:53.337
1.3596301078796387,5.508,17:31:53.442
1.4650681018829346,0.792,17:31:53.548
1.5705323219299316,0.792,17:31:53.653
1.676084280014038,0.792,17:31:53.759
1.8052341938018799,0.792,17:31:53.888
1.9104912281036377,7.092,17:31:53.993
2.01603627204895,2.3760000000000003,17:31:54.099
2.1214683055877686,7.884,17:31:54.204
2.226910352706909,7.092,17:31:54.309
2.3289921283721924,2.3760000000000003,17:31:54.412
2.434422016143799,2.3760000000000003,17:31:54.517
2.5398993492126465,1.584,17:31:54.622
2.645510196685791,10.224,17:31:54.728
2.7509231567382812,2.3760000000000003,17:31:54.833
2.8521153926849365,9.432,17:31:54.935
2.957853317260742,1.584,17:31:55.040
3.185882329940796,3.9240000000000004,17:31:55.268
3.291431188583374,3.9240000000000004,17:31:55.374
3.3967151641845703,2.3760000000000003,17:31:55.479
3.5020861625671387,0.792,17:31:55.585
3.6032750606536865,0.792,17:31:55.686
3.7087652683258057,0.792,17:31:55.791
3.8104751110076904,1.584,17:31:55.893
3.9162681102752686,0.792,17:31:55.999
4.017679214477539,1.584,17:31:56.100
4.123098134994507,0.792,17:31:56.206
4.22717022895813,0.792,17:31:56.310
4.328033208847046,0.792,17:31:56.411
4.433512210845947,0.792,17:31:56.516
4.5389323234558105,0.792,17:31:56.621
4.643828392028809,0.792,17:31:56.726
4.749313116073608,1.584,17:31:56.832
4.991886138916016,1.584,17:31:57.074
5.192910194396973,0.792,17:31:57.275
5.2947142124176025,0.792,17:31:57.377
5.400155305862427,1.584,17:31:57.483
5.505539178848267,0.792,17:31:57.588
5.610957145690918,0.792,17:31:57.693
5.716538190841675,1.584,17:31:57.799
5.818836450576782,3.9240000000000004,17:31:57.901
5.924304246902466,0.792,17:31:58.007
6.029703378677368,0.792,17:31:58.112
6.318027019500732,0.792,17:31:58.401
6.42181921005249,1.584,17:31:58.504
6.52724027633667,2.3760000000000003,17:31:58.610
6.632826328277588,1.584,17:31:58.715
6.738291263580322,0.792,17:31:58.821
6.843984127044678,0.792,17:31:58.927
7.119958162307739,3.9240000000000004,17:31:59.202
7.225003004074097,3.132,17:31:59.308
7.3371422290802,0.792,17:31:59.420
7.520923137664795,0.792,17:31:59.603
7.626519203186035,0.792,17:31:59.709
7.732000112533569,0.792,17:31:59.815
7.836535215377808,0.792,17:31:59.919
7.94195032119751,0.792,17:32:00.024
8.043859243392944,0.792,17:32:00.126
8.16347622871399,0.792,17:32:00.246
8.3229341506958,0.792,17:32:00.405
8.427325248718262,3.132,17:32:00.510
8.532755374908447,0.792,17:32:00.615
8.638139247894287,0.792,17:32:00.721
8.743581295013428,1.584,17:32:00.826
8.84915828704834,0.792,17:32:00.932
8.952189207077026,0.792,17:32:01.035
9.065037250518799,0.792,17:32:01.148
9.326279401779175,8.64,17:32:01.409
9.42919921875,3.132,17:32:01.512
9.530131340026855,3.132,17:32:01.613
9.63181209564209,0.792,17:32:01.714
9.737220287322998,0.792,17:32:01.820
9.842601299285889,0.792,17:32:01.925
9.947962284088135,0.792,17:32:02.030
10.05371642112732,0.792,17:32:02.136
10.17216420173645,0.792,17:32:02.255
10.27935528755188,0.792,17:32:02.362
10.380226135253906,0.792,17:32:02.463
10.485525131225586,3.132,17:32:02.568
10.590899229049683,0.792,17:32:02.673
10.693855285644531,0.792,17:32:02.776
10.799445152282715,0.792,17:32:02.882
10.904844045639038,0.792,17:32:02.987
11.01037335395813,1.584,17:32:03.093
11.115877151489258,0.792,17:32:03.198
11.221354246139526,0.792,17:32:03.304
11.326864242553711,4.716,17:32:03.409
11.432312250137329,0.792,17:32:03.515
11.534855365753174,0.792,17:32:03.617
11.64022707939148,0.792,17:32:03.723
11.745607376098633,0.792,17:32:03.828
11.851055145263672,0.792,17:32:03.934
11.956483125686646,0.792,17:32:04.039
12.06187629699707,14.940000000000001,17:32:04.144
12.18069314956665,0.792,17:32:04.263
12.369977235794067,0.792,17:32:04.453
12.474238395690918,2.3760000000000003,17:32:04.557
12.584736108779907,0.792,17:32:04.667
12.686254262924194,0.792,17:32:04.769
12.791632175445557,0.792,17:32:04.874
12.897411108016968,0.792,17:32:04.980
13.000941276550293,0.792,17:32:05.083
13.186896324157715,0.792,17:32:05.269
13.29281735420227,0.792,17:32:05.375
13.398204326629639,1.584,17:32:05.481
13.50220537185669,2.3760000000000003,17:32:05.585
13.603277206420898,0.792,17:32:05.686
13.708700180053711,1.584,17:32:05.791
13.81345820426941,0.792,17:32:05.896
13.91818118095398,0.792,17:32:06.001
14.018864154815674,0.792,17:32:06.101
14.12428331375122,0.792,17:32:06.207
14.227212190628052,11.808,17:32:06.310
14.332810163497925,0.792,17:32:06.415
14.435627222061157,1.584,17:32:06.518
14.536721229553223,0.792,17:32:06.619
14.642300367355347,0.792,17:32:06.725
14.747860431671143,0.792,17:32:06.830
14.853430032730103,1.584,17:32:06.936
